㞎㞎	ba3 ba5
位置	wei4 zhi5
低地	di1 di4
低地轨道	di1 di4 gui3 dao4
住地	zhu4 di4
体己	ti1 ji5
体己话	ti1 ji5 hua4
体己钱	ti1 ji5 qian2
体鸣乐器	ti3 ming2 yue4 qi4
何为	he2 wei2
何乐不为	he2 le4 bu4 wei2
何以见得	he2 yi3 jian4 de2
何干	he2 gan1
何曾	he2 ceng2
余切	yu2 qie1
余地	yu2 di4
余甘子	yu2 gan1 zi3
作为	zuo4 wei2
作坊	zuo1 fang5
作料	zuo4 liao5
作曲	zuo4 qu3
作曲家	zuo4 qu3 jia1
作曲者	zuo4 qu3 zhe3
你个头	ni3 ge5 tou2
佣金	yong4 jin1
佣钱	yong4 qian5
佳人才子	jia1 ren2 cai2 zi3
使不得	shi3 bu5 de5
使劲儿	shi3 jin4 r5
使唤	shi3 huan5
侄女婿	zhi2 nv3 xu5
侈靡	chi3 mi2
例假	li4 jia4
供佛花	gong4 fo2 hua1
供品	gong4 pin3
供奉	gong4 feng4
供物	gong4 wu4
供状	gong4 zhuang4
供称	gong4 cheng1
供给	gong1 ji3
供职	gong4 zhi2
供花	gong4 hua1
供认	gong4 ren4
供认不讳	gong4 ren4 bu4 hui4
供词	gong4 ci2
供述	gong4 shu4
依依不舍	yi1 yi1 bu4 she3
侵权行为	qin1 quan2 xing2 wei2
便便	pian2 pian2
便嬛	pian2 xuan1
便宜	pian2 yi5
便宜货	pian2 yi5 huo4
便溺	bian4 niao4
便血	bian4 xie3
便难	bian4 nan4
俏皮	qiao4 pi5
俏皮话	qiao4 pi5 hua4
保不住	bao3 bu5 zhu4
保不齐	bao3 bu5 qi2
信以为真	xin4 yi3 wei2 zhen1
信号处理	xin4 hao4 chu3 li3
信差	xin4 chai1
信息灵通	xin4 xi5 ling2 tong1
俩钱儿	lia3 qian2 r5
修指甲	xiu1 zhi3 jia5
俯首帖耳	fu3 shou3 tie1 er3
俸给	feng4 ji3
倍儿	bei4 r5
倍儿棒	bei4 r5 bang4
倒位	dao4 wei4
倒像	dao4 xiang4
倒写	dao4 xie3
倒刺	dao4 ci4
倒反	dao4 fan3
倒反天纲	dao4 fan3 tian1 gang1
倒叙	dao4 xu4
倒吊蜡烛	dao4 diao4 la4 zhu2
倒嚼	dao3 jiao4
倒地	dao3 di4
倒带	dao4 dai4
倒序	dao4 xu4
倒座儿	dao4 zuo4 r5
倒开	dao4 kai1
倒弄	dao3 nong5
倒彩	dao4 cai3
倒彩声	dao4 cai3 sheng1
倒影	dao4 ying3
倒悬	dao4 xuan2
倒悬之危	dao4 xuan2 zhi1 wei1
倒悬之急	dao4 xuan2 zhi1 ji2
倒悬之苦	dao4 xuan2 zhi1 ku3
倒打一耙	dao4 da3 yi1 pa2
倒持泰阿	dao4 chi2 tai4 e1
倒挂	dao4 gua4
倒插门	dao4 cha1 men2
倒放	dao4 fang4
倒数	dao4 shu3
倒映	dao4 ying4
倒春寒	dao4 chun1 han2
倒是	dao4 shi5
倒果为因	dao4 guo3 wei2 yin1
倒栽葱	dao4 zai1 cong1
倒流	dao4 liu2
倒灌	dao4 guan4
倒烟	dao4 yan1
倒片	dao4 pian4
倒相	dao4 xiang4
倒着	dao4 zhe5
倒睫	dao4 jie2
倒空	dao4 kong1
倒立	dao4 li4
倒立像	dao4 li4 xiang4
倒粪	dao4 fen4
倒置	dao4 zhi4
倒背如流	dao4 bei4 ru2 liu2
倒背手	dao4 bei4 shou3
倒背手儿	dao4 bei4 shou3 r5
倒腾	dao3 teng5
倒苦水	dao4 ku3 shui3
